"","NAME","STRATUM","OTHERSTAFF","TOTALSTAFF","ASSAULTCORR","ASSAULTOTRSTAFFF","DEATHSTAFFYN","ADPF","ADP","DESIGNWT","FINALWT","year"
"263","MCHENRY COUNTY ADULT CORRECTIONAL FACILITY",7,0,0,0,0,-9,0,436,1.4136,1.5742364,"2013"
"264","HARDIN COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,597,1.4136,1.5742364,"2013"
"265","PLACER COUNTY",7.1,0,0,0,0,-9,1,606,1.4136,1.0588235,"2013"
"266","LEBANON COUNTY CORRECTIONAL FACILITY",2,0,0,0,0,-9,0,472,2.4167,2.4857486,"2013"
"267","KANE COUNTY ADULT CORRECTIONAL CENTER",1,22,141,0,0,-9,0,648,1,1.0695652,"2013"
"268","COCONINO COUNTY JAIL",1,29,166,0,0,-9,0,479,1,1.0695652,"2013"
"269","CHEROKEE COUNTY ADULT DETENTION CENTER",1,12,129,0,0,-9,0,602,1,1.0695652,"2013"
"270","ST. CHARLES PARISH NELSON COLEMAN CORR CTR",7,0,0,0,0,-9,1,505,1.4136,1.5742364,"2013"
"271","NORTHWEST OH REGIONAL CORRECTIONAL CENTER",12,55,168,0,0,-9,0,566,1,1.0769231,"2013"
"272","WICHITA COUNTY JAIL",1,12,144,2,0,-9,0,417,1,1.0695652,"2013"
"273","SULLIVAN COUNTY JAIL",7,0,0,0,0,-9,1,693,1.4136,1.5742364,"2013"
"274","WASHINGTON COUNTY JAIL",7,0,0,0,0,-9,1,590,1.4136,1.5742364,"2013"
"275","CALHOUN COUNTY CORRECTIONAL CENTER",1,15,135,0,0,-9,0,512,1,1.0695652,"2013"
"276","MARION COUNTY",1,39,112,0,0,-9,1,418,1,1.0695652,"2013"
"277","ST. JOHNS COUNTY DETENTION CENTER",1,25,100,0,0,-9,0,446,1,1.0695652,"2013"
"278","BUTTE COUNTY JAIL",7.1,0,0,0,0,-9,0,593,1.4136,1.0588235,"2013"
"279","IMPERIAL COUNTY",7.1,0,0,0,0,-9,0,537,1.4136,1.0588235,"2013"
"280","GUADALUPE COUNTY JAIL - GEO GROUP INC.",7,0,0,0,0,-9,0,584,1.4136,1.5742364,"2013"
"281","Western Virginia Regional Jail",12,9,179,0,0,-9,0,734,1,1.0769231,"2013"
"282","FORREST COUNTY JAIL & WORK RELEASE",8,0,0,0,0,-9,0,308,2.7519,3.0174342,"2013"
"283","POTTER COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,453,1.4136,1.5742364,"2013"
"284","KENTON COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,582,1.4136,1.5742364,"2013"
"285","TYGART VALLEY REGIONAL JAIL",12,93,163,11,0,-9,1,510,1,1.0769231,"2013"
"286","WEST TENNESSEE DET FAC - C.C.A.",1,0,0,0,0,-9,5,414,1,1.0695652,"2013"
"287","NORTH CENTRAL REGIONAL JAIL",12,25,95,0,0,-9,1,645,1,1.0769231,"2013"
"288","OKALOOSA COUNTY DEPT. OF CORRECTIONS JAIL",1,10,127,0,0,-9,0,631,1,1.0695652,"2013"
"289","WESTERN REGIONAL JAIL",12,20,104,95,0,-9,0,611,1,1.0769231,"2013"
"290","CLAIBORNE DETENTION CENTER",7,0,0,0,0,-9,0,606,1.4136,1.5742364,"2013"
"291","ROBERTSON COUNTY JAIL",7,0,0,0,0,-9,1,450,1.4136,1.5742364,"2013"
"292","PENNINGTON COUNTY JAIL",7,0,0,0,0,-9,0,513,1.4136,1.5742364,"2013"
"293","SAN LUIS OBISPO COUNTY JAIL",7.1,0,0,0,0,-9,0,717,1.4136,1.0588235,"2013"
"294","GASTON COUNTY JAIL AND ANNEX",2,0,0,0,0,-9,0,493,2.4167,2.4857486,"2013"
"295","WALTON COUNTY JAIL",3,0,0,0,0,-9,0,228,4.2917,5.15004,"2013"
"296","GENESEE COUNTY JAIL",1,7,136,25,0,-9,1,630,1,1.0695652,"2013"
"297","MUSCOGEE COUNTY PRISON",1,6,111,0,0,-9,0,558,1,1.0695652,"2013"
"298","EASTERN REGIONAL JAIL",12,14,96,48,0,-9,0,463,1,1.0769231,"2013"
"299","ASCENSION PARISH JAIL",7,0,0,0,0,-9,0,476,1.4136,1.5742364,"2013"
"300","CUMBERLAND COUNTY JAIL",7,0,0,0,0,-9,0,443,1.4136,1.5742364,"2013"
"301","LOUDOUN COUNTY ADULT DETENTION CENTER",7,0,0,0,0,-9,0,349,1.4136,1.5742364,"2013"
"302","CUMBERLAND COUNTY JAIL",1,49,270,0,0,-9,0,678,1,1.0695652,"2013"
"303","KITSAP COUNTY CORRECTIONAL CENTER",7,0,0,0,0,-9,0,416,1.4136,1.5742364,"2013"
"304","BUTLER COUNTY PRISON",7,0,0,0,0,-9,0,378,1.4136,1.5742364,"2013"
"305","MERCED COUNTY",7.1,0,0,0,0,-9,1,736,1.4136,1.0588235,"2013"
"306","CUMBERLAND COUNTY PRISON",2,0,0,0,0,-9,0,385,2.4167,2.4857486,"2013"
"307","CHESAPEAKE CITY JAIL",1,85,389,6,0,-9,0,1149,1,1.0695652,"2013"
"308","LARIMER COUNTY DETENTION CENTER",1,48,177,0,0,-9,0,455,1,1.0695652,"2013"
"309","NW REG ADC & COMMUNTY CORRECTIONAL FACILITY",12,51,184,0,0,-9,0,590,1,1.0769231,"2013"
"310","RAMSEY COUNTY CORRECTIONAL FACILITY",1,64,136,0,0,-9,0,326,1,1.0695652,"2013"
"311","WESTERN TIDEWATER REGIONAL JAIL",12,17,165,2,0,-9,0,717,1,1.0769231,"2013"
"312","PITT COUNTY DETENTION CENTER",7,0,0,0,0,-9,1,448,1.4136,1.5742364,"2013"
"313","CUMBERLAND COUNTY JAIL",7,0,0,0,0,-9,1,580,1.4136,1.5742364,"2013"
"314","CAMPBELL COUNTY DETENTION CENTER",7,0,0,0,0,-9,1,588,1.4136,1.5742364,"2013"
"315","WHITFIELD COUNTY SHERIFF'S OFFICE JAIL",7,0,0,0,0,-9,1,403,1.4136,1.5742364,"2013"
"316","HENDERSON COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,558,1.4136,1.5742364,"2013"
"317","TUSCALOOSA COUNTY JAIL",1,12,88,0,0,-9,0,623,1,1.0695652,"2013"
"318","TROUP COUNTY JAIL",1,6,58,0,0,-9,0,400,1,1.0695652,"2013"
"319","BOULDER COUNTY JAIL",7,0,0,0,0,-9,1,531,1.4136,1.5742364,"2013"
"320","STONE COUNTY CORRECTIONAL FACILITY",7,0,0,0,0,-9,0,464,1.4136,1.5742364,"2013"
"321","VICTORIA COUNTY JAIL",7,0,0,0,0,-9,1,400,1.4136,1.5742364,"2013"
"322","ONSLOW COUNTY JAIL",8,0,0,0,0,-9,0,280,2.7519,3.0174342,"2013"
"323","TANGIPAHOA PARISH JAIL",1,11,70,0,0,-9,0,520,1,1.0695652,"2013"
"324","BONNEVILLE COUNTY JAIL",7,0,0,0,0,-9,0,354,1.4136,1.5742364,"2013"
"325","MORRIS COUNTY CORRECTIONAL FACILITY",7,0,0,0,0,-9,0,355,1.4136,1.5742364,"2013"
"326","FLORENCE COUNTY DETENTION CENTER",2,0,0,0,0,-9,0,391,2.4167,2.4857486,"2013"
"327","STARK COUNTY JAIL",2,0,0,0,0,-9,0,401,2.4167,2.4857486,"2013"
"328","GRAYSON COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,574,1.4136,1.5742364,"2013"
"329","SAGINAW COUNTY JAIL",1,6,71,0,0,-9,0,473,1,1.0695652,"2013"
"330","VANDERBURGH COUNTY CONFINEMENT CENTER",7,0,0,0,0,-9,0,652,1.4136,1.5742364,"2013"
"331","ONONDAGA COUNTY DEPARTMENT OF CORRECTION",1,25,184,0,0,-9,0,509,1,1.0695652,"2013"
"332","TALLEDEGA COUNTY JAIL",7,0,0,0,0,-9,0,320,1.4136,1.5742364,"2013"
"333","ARLINGTON COUNTY JAIL",1,49,262,5,1,-9,1,479,1,1.0695652,"2013"
"334","LANE COUNTY",7,0,0,0,0,-9,0,229,1.4136,1.5742364,"2013"
"335","HAMILTON COUNTY JAIL",1,17,142,0,0,-9,0,509,1,1.0695652,"2013"
"336","ROCK COUNTY JAIL",1,41,122,0,0,-9,0,502,1,1.0695652,"2013"
"337","BOONE COUNTY",8,0,0,0,0,-9,0,469,2.7519,3.0174342,"2013"
"338","KEMPER/NESHOBA CO REGIONAL CORR FACILITY",12,20,49,0,0,-9,0,406,1,1.0769231,"2013"
"339","RAMSEY COUNTY LAW ENFORCEMENT CENTER",1,10,135,0,0,-9,0,370,1,1.0695652,"2013"
"340","SOUTHWESTERN REGIONAL JAIL",12,19,102,0,0,-9,0,525,1,1.0769231,"2013"
"341","NIAGARA COUNTY JAIL",2,0,0,0,0,-9,0,465,2.4167,2.4857486,"2013"
"342","SPARTANBURG COUNTY DETENTION FACILITY",1,44,211,4,0,-9,1,816,1,1.0695652,"2013"
"343","CLARKE COUNTY JAIL",1,14,112,0,0,-9,0,499,1,1.0695652,"2013"
"344","NORTHERN NECK REGIONAL JAIL",12,27,87,0,0,-9,0,383,1,1.0769231,"2013"
"345","BULLOCH COUNTY JAIL",7,0,0,0,0,-9,0,111,1.4136,1.5742364,"2013"
"346","DOUGLAS COUNTY SHERIFF'S OFFICE JAIL",1,2,117,0,0,-9,1,772,1,1.0695652,"2013"
"347","SAN DIEGO CO PROBATION DEPT - CAI",1.1,43,67,0,0,-9,1,231,1,1,"2013"
"348","Chickasaw County RCF",12,9,49,0,0,-9,1,399,-9,1.0769231,"2013"
"349","THOMAS COUNTY JAIL",7,0,0,0,0,-9,0,226,1.4136,1.5742364,"2013"
"350","CLAY COUNTY JAIL",2,0,0,0,0,-9,0,432,2.4167,2.4857486,"2013"
"351","HENNEPIN COUNTY ADULT CORRECTIONS FACILITY",1,51,164,0,0,-9,0,427,1,1.0695652,"2013"
"352","CANYON COUNTY JAIL & WORK RELEASE CENTER",1,29,128,0,0,-9,0,390,1,1.0695652,"2013"
"353","NATRONA COUNTY DETENTION CENTER",7,0,0,0,0,-9,1,294,1.4136,1.5742364,"2013"
"354","El Dorado County Sheriffs Department",7.1,0,0,0,0,-9,1,343,-9,1.0588235,"2013"
"355","HAMPTON CITY JAIL",7,0,0,0,0,-9,0,404,1.4136,1.5742364,"2013"
"356","DODGE COUNTY JAIL",7,0,0,0,0,-9,0,372,1.4136,1.5742364,"2013"
"357","SPOKANE COUNTY JAIL",1,84,248,2,0,-9,0,648,1,1.0695652,"2013"
"358","LEAKE COUNTY JAIL",7,0,0,0,0,-9,1,380,1.4136,1.5742364,"2013"
"359","SAUK COUNTY",3,0,0,0,0,-9,0,178,4.2917,5.15004,"2013"
"360","RANDALL COUNTY JAIL",2,0,0,0,0,-9,0,364,2.4167,2.4857486,"2013"
"361","JACKSON COUNTY JAIL",7,0,0,0,0,-9,5,167,1.4136,1.5742364,"2013"
"362","TOM GREEN COUNTY JAIL",7,0,0,0,0,-9,0,407,1.4136,1.5742364,"2013"
"363","FLOYD COUNTY PRISON",1,7,53,1,0,-9,0,438,1,1.0695652,"2013"
"364","SEVIER COUNTY JAIL",7,0,0,0,0,-9,0,507,1.4136,1.5742364,"2013"
"365","JACKSON COUNTY JAIL",2,0,0,0,0,-9,0,402,2.4167,2.4857486,"2013"
"366","WASHINGTON COUNTY DETENTION CENTER",2,0,0,0,0,-9,0,385,2.4167,2.4857486,"2013"
"367","WASHINGTON COUNTY CORRECTIONAL FACILITY",7,0,0,0,0,-9,1,368,1.4136,1.5742364,"2013"
"368","CENTRAL VIRGINIA REGIONAL JAIL",12,28,95,0,0,-9,0,384,1,1.0769231,"2013"
"369","GREENE COUNTY JAIL",7,0,0,0,0,-9,1,409,1.4136,1.5742364,"2013"
"370","SOUTHERN REGIONAL JAIL",12,31,105,16,0,-9,1,557,1,1.0769231,"2013"
"371","COWLITZ COUNTY JAIL",7,0,0,0,0,-9,0,270,1.4136,1.5742364,"2013"
"372","YUBA COUNTY JAIL",7.1,0,0,0,0,-9,0,413,1.4136,1.0588235,"2013"
"373","LEE COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,395,1.4136,1.5742364,"2013"
"374","LUNA COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,315,1.4136,1.5742364,"2013"
"375","Madera County Department of Corrections",7.1,0,0,0,0,-9,0,440,-9,1.0588235,"2013"
"376","PAMUNKEY REGIONAL JAIL",12,45,125,0,0,-9,0,465,1,1.0769231,"2013"
"377","ROBESON COUNTY JAIL",2,0,0,0,0,-9,0,365,2.4167,2.4857486,"2013"
"378","LAKE COUNTY",7,0,0,0,0,-9,1,387,1.4136,1.5742364,"2013"
"379","HUMBOLDT COUNTY CORRECTIONAL FACILITY",7.1,0,0,0,0,-9,0,369,1.4136,1.0588235,"2013"
"380","VERMILION COUNTY JAIL",2,0,0,0,0,-9,0,194,2.4167,2.4857486,"2013"
"381","MONROE COUNTY CORRECTIONAL FACILITY",2,0,0,0,0,-9,0,405,2.4167,2.4857486,"2013"
"382","BRADLEY COUNTY JUSTICE CENTER",7,0,0,0,0,-9,0,438,1.4136,1.5742364,"2013"
"383","THURSTON COUNTY JAIL",2,0,0,0,0,-9,0,409,2.4167,2.4857486,"2013"
"384","WASHTENAW COUNTY SHERIFF'S OFFICE JAIL",2,0,0,0,0,-9,0,368,2.4167,2.4857486,"2013"
"385","LINN COUNTY CORRECTIONAL CENTER",7,0,0,0,0,-9,0,346,1.4136,1.5742364,"2013"
"386","BASTROP COUNTY JAIL",8,0,0,0,0,-9,0,290,2.7519,3.0174342,"2013"
"387","LUCAS COUNTY CORRECTIONAL CENTER",2,0,0,0,0,-9,0,429,2.4167,2.4857486,"2013"
"388","HOUSTON COUNTY JAIL",7,0,0,0,0,-9,1,330,1.4136,1.5742364,"2013"
"389","MIDDLE RIVER REGIONAL JAIL",12,21,137,0,0,-9,0,460,1,1.0769231,"2013"
"390","DESOTO COUNTY JAIL",2,0,0,0,0,-9,0,323,2.4167,2.4857486,"2013"
"391","YOLO COUNTY",7.1,0,0,0,0,-9,1,436,1.4136,1.0588235,"2013"
"392","ROCKINGHAM COUNTY DEPT OF CORRECTION",2,0,0,0,0,-9,1,292,2.4167,2.4857486,"2013"
"393","HUNT COUNTY CRIMINAL JUSTICE CENTER",7,0,0,0,0,-9,0,337,1.4136,1.5742364,"2013"
"394","BARROW COUNTY DETENTION CENTER",4,0,0,0,0,-9,1,230,7.5625,8.1026786,"2013"
"395","SANDOVAL COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,228,1.4136,1.5742364,"2013"
"396","SPALDING COUNTY CORRECTIONAL INSTITUTION",1,20,73,0,0,-9,0,373,1,1.0695652,"2013"
"397","COMCOR, INC (WORK REL, DIVERSION, TRANS.)",1,38,99,0,0,-9,0,314,1,1.0695652,"2013"
"398","CHELAN COUNTY REGIONAL JUSTICE CENTER",12,22,72,0,0,-9,1,218,1,1.0769231,"2013"
"399","HOLMES/HUMPHREY CO REGIONAL CORR FACILITY",12,12,52,0,0,-9,0,357,1,1.0769231,"2013"
"400","GREENE COUNTY",7,0,0,0,0,-9,0,228,1.4136,1.5742364,"2013"
"401","SHASTA COUNTY JAIL",7.1,0,0,0,0,-9,0,326,1.4136,1.0588235,"2013"
"402","DECATUR COUNTY CORRECTIONAL INSTITUTION",7,0,0,0,0,-9,0,310,1.4136,1.5742364,"2013"
"403","MARIN COUNTY JAIL MAIN FACILITY",7.1,0,0,0,0,-9,0,290,1.4136,1.0588235,"2013"
"404","GORDON COUNTY JAIL",3,0,0,0,0,-9,0,269,4.2917,5.15004,"2013"
"405","PIKE COUNTY JAIL",7,0,0,0,0,-9,0,324,1.4136,1.5742364,"2013"
"406","LANCASTER COUNTY",7,0,0,0,0,-9,0,454,1.4136,1.5742364,"2013"
"407","TROUP COUNTY CORRECTIONAL INSTITUTION",1,5,82,0,0,-9,0,332,1,1.0695652,"2013"
"408","CLAY COUNTY SHERIFF'S DEPARTMENT",7,0,0,0,0,-9,0,319,1.4136,1.5742364,"2013"
"409","LIBERTY COUNTY JAIL - CIVIGENICS",7,0,0,0,0,-9,0,189,1.4136,1.5742364,"2013"
"410","WINSTON/CHOCTAW CO REGIONAL CORR FACILITY",12,12,46,0,0,-9,0,325,1,1.0769231,"2013"
"411","CACHE COUNTY JAIL",7,0,0,0,0,-9,0,287,1.4136,1.5742364,"2013"
"412","SPALDING COUNTY DETENTION CENTER",1,16,93,0,0,-9,0,424,1,1.0695652,"2013"
"413","JEFFERSON/FRANKLIN CO REGIONAL CORR FAC",12,13,55,0,0,-9,1,320,1,1.0769231,"2013"
"414","MADISON COUNTY JAIL",2,0,0,0,0,-9,0,340,2.4167,2.4857486,"2013"
"415","HAYS COUNTY JAIL",7,0,0,0,0,-9,0,309,1.4136,1.5742364,"2013"
"416","KINGS COUNTY JAIL",7.1,0,0,0,0,-9,1,475,1.4136,1.0588235,"2013"
"417","CARROLL/MONTGOMERY CO REGIONAL CORR CENTER",12,14,57,0,0,-9,0,332,1,1.0769231,"2013"
"418","SEBASTIAN COUNTY ADULT DETENTION CENTER",7,0,0,0,0,-9,0,340,1.4136,1.5742364,"2013"
"419","RUSSELL COUNTY JAIL",2,0,0,0,0,-9,0,354,2.4167,2.4857486,"2013"
"420","WINNEBAGO COUNTY JAIL",2,0,0,0,0,-9,0,305,2.4167,2.4857486,"2013"
"421","WYANDOTTE COUNTY JAIL",7,0,0,0,0,-9,0,349,1.4136,1.5742364,"2013"
"422","SUMTER-LEE REGIONAL DETENTION CENTER",12,2,81,0,0,-9,0,345,1,1.0769231,"2013"
"423","Sutter County Sheriffs Office",7.1,0,0,0,0,-9,0,284,-9,1.0588235,"2013"
"424","BLOUNT COUNTY JAIL",7,0,0,0,0,-9,0,525,1.4136,1.5742364,"2013"
"425","SUMTER COUNTY CORRECTIONAL INSTITUTION",7,0,0,0,0,-9,0,396,1.4136,1.5742364,"2013"
"426","BLAIR COUNTY PRISON",7,0,0,0,0,-9,0,325,1.4136,1.5742364,"2013"
"427","WAKULLA COUNTY JAIL",7,0,0,0,0,-9,0,230,1.4136,1.5742364,"2013"
"428","HARRISON COUNTY JAIL",8,0,0,0,0,-9,0,214,2.7519,3.0174342,"2013"
"429","DAVIESS COUNTY SECURITY CENTER",8,0,0,0,0,-9,1,160,2.7519,3.0174342,"2013"
"430","GLYNN COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,426,1.4136,1.5742364,"2013"
"431","ORANGEBURG/CALHOUN CO REGIONAL DETENTION CTR",12,0,0,0,9,-9,1,256,1,1.0769231,"2013"
"432","ALEXANDRIA CITY DETENTION CENTER",2,0,0,0,0,-9,0,428,2.4167,2.4857486,"2013"
"433","EDGECOMBE COUNTY JAIL AND ANNEX",3,0,0,0,0,-9,0,212,4.2917,5.15004,"2013"
"434","WISE COUNTY JAIL",8,0,0,0,0,-9,0,165,2.7519,3.0174342,"2013"
"435","PEUMANSEND CREEK REGIONAL JAIL",12,48,105,0,0,-9,0,268,1,1.0769231,"2013"
"436","BARTHOLOMEW COUNTY JAIL",8,0,0,0,0,-9,0,166,2.7519,3.0174342,"2013"
"437","WEST BATON ROUGE PARISH JAIL",7,0,0,0,0,-9,0,261,1.4136,1.5742364,"2013"
"438","ST. CLAIR COUNTY JAIL",7,0,0,0,0,-9,0,470,1.4136,1.5742364,"2013"
"439","CENTRAL REGIONAL JAIL",12,13,74,0,0,-9,1,318,1,1.0769231,"2013"
"440","MILLER COUNTY JAIL",8,0,0,0,0,-9,1,197,2.7519,3.0174342,"2013"
"441","ALBEMARLE-CHARLOTTESVILLE REGIONAL JAIL",12,0,0,0,9,-9,5,532,1,1.0769231,"2013"
"442","GALLUP/MCKINLEY CO ADULT DETENTION CENTER",12,16,62,0,0,-9,1,310,1,1.0769231,"2013"
"443","POTOMAC HIGHLANDS REGIONAL JAIL",12,15,77,0,0,-9,1,308,1,1.0769231,"2013"
"444","KALAMAZOO COUNTY SHERIFF'S OFFICE JAIL",7,0,0,0,0,-9,0,418,1.4136,1.5742364,"2013"
"445","HOWARD COUNTY CRIMINAL JUSTICE CENTER",7,0,0,0,0,-9,0,326,1.4136,1.5742364,"2013"
"446","CLEVELAND COUNTY",8,0,0,0,0,-9,0,263,2.7519,3.0174342,"2013"
"447","COMAL COUNTY JAIL",7,0,0,0,0,-9,0,271,1.4136,1.5742364,"2013"
"448","DESCHUTES COUNTY CORRECTIONAL FACILITY",8,0,0,0,0,-9,0,231,2.7519,3.0174342,"2013"
"449","TRUMBULL COUNTY JAIL",7,0,0,0,0,-9,1,287,1.4136,1.5742364,"2013"
"450","ST. JOHN BAPTIST PARISH",7,0,0,0,0,-9,0,214,1.4136,1.5742364,"2013"
"451","LAUREL COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,413,1.4136,1.5742364,"2013"
"452","LAUDERDALE COUNTY SHERIFF'S DEPT. JAIL",7,0,0,0,0,-9,1,292,1.4136,1.5742364,"2013"
"453","SPOKANE COUNTY GEIGER CORRECTIONS CENTER",1,19,79,3,0,-9,0,251,1,1.0695652,"2013"
"454","FRANKLIN COUNTY PRISON",2,0,0,0,0,-9,0,397,2.4167,2.4857486,"2013"
"455","LA SALLE COUNTY JAIL",3,0,0,0,0,-9,0,195,4.2917,5.15004,"2013"
"456","JOHNSON COUNTY LAW ENFORCEMENT FACILITY",7,0,0,0,0,-9,0,302,1.4136,1.5742364,"2013"
"457","NORFOLK COUNTY",1,98,317,0,0,-9,1,650,1,1.0695652,"2013"
"458","MENDOCINO COUNTY",7.1,0,0,0,0,-9,0,244,1.4136,1.0588235,"2013"
"459","NEWPORT NEWS CITY JAIL",1,6,156,0,0,-9,0,501,1,1.0695652,"2013"
"460","PAULDING COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,233,1.4136,1.5742364,"2013"
"461","JACKSON COUNTY CORRECTIONAL FACILITY",2,0,0,0,0,-9,0,220,2.4167,2.4857486,"2013"
"462","LEVY COUNTY JAIL",3,0,0,0,0,-9,0,142,4.2917,5.15004,"2013"
"463","GRANT COUNTY",8,0,0,0,0,-9,0,217,2.7519,3.0174342,"2013"
"464","WHATCOM COUNTY JAIL",7,0,0,0,0,-9,0,386,1.4136,1.5742364,"2013"
"465","CARTER COUNTY JAIL & WORKHOUSE",8,0,0,0,0,-9,0,308,2.7519,3.0174342,"2013"
"466","WASHINGTON COUNTY JAIL",3,0,0,0,0,-9,0,245,4.2917,5.15004,"2013"
"467","YELLOWSTONE COUNTY DETENTION FACILITY",7,0,0,0,0,-9,0,358,1.4136,1.5742364,"2013"
"468","Nevada County Sheriffs Office",8.1,0,0,0,0,-9,1,214,-9,1.2,"2013"
"469","NACOGDOCHES COUNTY JAIL",7,0,0,0,0,-9,0,227,1.4136,1.5742364,"2013"
"470","VIRGINIA PENINSULA REGIONAL JAIL",12,20,117,0,0,-9,0,438,1,1.0769231,"2013"
"471","NORTHERN REGIONAL JAIL",12,12,70,0,0,-9,1,320,1,1.0769231,"2013"
"472","CLEVELAND HOUSE OF CORRECTION",8,0,0,0,0,-9,1,199,2.7519,3.0174342,"2013"
"473","PORTSMOUTH CITY JAIL",7,0,0,0,0,-9,0,403,1.4136,1.5742364,"2013"
"474","LENAWEE COUNTY JAIL",7,0,0,0,0,-9,0,263,1.4136,1.5742364,"2013"
"475","HAMPSHIRE COUNTY JAIL & HOUSE OF CORRECTION",2,0,0,0,0,-9,0,250,2.4167,2.4857486,"2013"
"476","LAKE COUNTY HILL ROAD CORRECTIONAL FACILITY",7.1,0,0,0,0,-9,1,312,1.4136,1.0588235,"2013"
"477","MUSKOGEE COUNTY/CITY DETENTION CENTER",7,0,0,0,0,-9,0,306,1.4136,1.5742364,"2013"
"478","LENOIR COUNTY JAIL",8,0,0,0,0,-9,1,230,2.7519,3.0174342,"2013"
"479","BURKE/CATAWBA CO REG. DIST. CONFINEMENT FAC",12,3,37,0,0,-9,0,177,1,1.0769231,"2013"
"480","COMANCHE COUNTY JAIL",2,0,0,0,0,-9,1,283,2.4167,2.4857486,"2013"
"481","DOUGLAS COUNTY CORRECTIONS",8,0,0,0,0,-9,1,201,2.7519,3.0174342,"2013"
"482","CRAWFORD COUNTY CORRECTIONAL FACILITY",8,0,0,0,0,-9,0,201,2.7519,3.0174342,"2013"
"483","SUMTER COUNTY JAIL",7,0,0,0,0,-9,1,196,1.4136,1.5742364,"2013"
"484","MARATHON COUNTY ADULT DETENTION FACILITY",7,0,0,0,0,-9,1,314,1.4136,1.5742364,"2013"
"485","ANGELINA COUNTY JAIL",7,0,0,0,0,-9,0,235,1.4136,1.5742364,"2013"
"486","SCHUYKILL COUNTY PRISON",3,0,0,0,0,-9,0,304,4.2917,5.15004,"2013"
"487","STARR COUNTY JAIL",7,0,0,0,0,-9,0,235,1.4136,1.5742364,"2013"
"488","ISSAQUENA COUNTY",7,0,0,0,0,-9,0,269,1.4136,1.5742364,"2013"
"489","WOODBURY COUNTY LAW ENFORCEMENT CENTER",7,0,0,0,0,-9,0,236,1.4136,1.5742364,"2013"
"490","GRANT COUNTY SECURITY CENTER",2,0,0,0,0,-9,0,221,2.4167,2.4857486,"2013"
"491","LA CROSSE COUNTY JAIL",3,0,0,0,0,-9,0,195,4.2917,5.15004,"2013"
"492","NAPA COUNTY DEPT. OF CORR. JAIL",7.1,0,0,0,0,-9,0,249,1.4136,1.0588235,"2013"
"493","DAKOTA COUNTY JAIL",7,0,0,0,0,-9,1,226,1.4136,1.5742364,"2013"
"494","MOREHOUSE PARISH JAIL",7,0,0,0,0,-9,0,220,1.4136,1.5742364,"2013"
"495","CATAWBA COUNTY DETENTION FACILITY",3,0,0,0,0,-9,0,266,4.2917,5.15004,"2013"
"496","JOSEPHINE COUNTY ADULT JAIL",4,0,0,0,0,-9,0,86,7.5625,8.1026786,"2013"
"497","FAYETTE COUNTY JAIL",9,0,0,0,0,-9,0,80,5.5377,6.5925,"2013"
"498","CURRY COUNTY ADULT DETENTION CENTER",3,0,0,0,0,-9,0,253,4.2917,5.15004,"2013"
"499","STEUBEN COUNTY JAIL",3,0,0,0,0,-9,0,194,4.2917,5.15004,"2013"
"500","JASPER COUNTY SHERIFF'S DEPT JAIL",8,0,0,0,0,-9,0,166,2.7519,3.0174342,"2013"
"501","YAMHILL COUNTY CORRECTIONAL FACILITY",8,0,0,0,0,-9,0,186,2.7519,3.0174342,"2013"
"502","NOBLE COUNTY JAIL",8,0,0,0,0,-9,1,134,2.7519,3.0174342,"2013"
"503","ANDERSON COUNTY DETENTION CENTER",7,0,0,0,0,-9,0,337,1.4136,1.5742364,"2013"
"504","MEDINA COUNTY JAIL",7,0,0,0,0,-9,0,205,1.4136,1.5742364,"2013"
"505","EFFINGHAM COUNTY PRISON",7,0,0,0,0,-9,0,189,1.4136,1.5742364,"2013"
"506","RUTHERFORD COUNTY WORKHOUSE",1,10,38,0,0,-9,0,183,1,1.0695652,"2013"
"507","HAMBLEN COUNTY JAIL",8,0,0,0,0,-9,0,317,2.7519,3.0174342,"2013"
"508","MUSCATINE COUNTY JAIL",8,0,0,0,0,-9,1,220,2.7519,3.0174342,"2013"
"509","HENDERSON COUNTY JAIL",3,0,0,0,0,-9,0,160,4.2917,5.15004,"2013"
"510","PUTNAM COUNTY JAIL",7,0,0,0,0,-9,0,247,1.4136,1.5742364,"2013"
"511","WALKER COUNTY JAIL",8,0,0,0,0,-9,0,295,2.7519,3.0174342,"2013"
"512","SHREVEPORT CITY JAIL",9,0,0,0,0,-9,1,130,5.5377,6.5925,"2013"
"513","NORTHERN OREGON REGIONAL FACILITY",12,14,41,0,0,-9,0,111,1,1.0769231,"2013"
"514","BAY COUNTY LAW ENFORCEMENT CENTER",8,0,0,0,0,-9,0,226,2.7519,3.0174342,"2013"
