"","NAME","STRATUM","TOTALSTAFF","CORRSTAFF","CORRSTAFFF","OTHERSTAFF","OTHERSTAFFF","OTHERSTAFFM","TOTPOP","ADPF","ADP","DESIGNWT","FINALWT","year"
"616","Nowata County Sheriffs Office",9,21,18,5,3,0,3,74,7,61,9,9.29508197,"2015"
"617","Oklahoma County Sheriffs Office",1,395,277,93,118,96,22,2356,549,2587,1,1.01503759,"2015"
"618","Okmulgee County Criminal Justice Authority",7,33,24,10,9,4,5,255,42,251,1.27884614,1.31702066,"2015"
"619","Pottawatomie County Public Safety Center",7,56,50,10,6,3,3,350,50,350,1.27884614,1.31702066,"2015"
"620","Pushmataha County Sheriffs Office",10,20,10,3,10,1,9,15,5,20,14.89999962,14.89999962,"2015"
"621","Sequoyah County Sheriffs Office",9,21,18,8,3,2,1,103,22,111,9,9.29508197,"2015"
"622","Tulsa County Sheriffs Office",1,402,340,91,62,19,43,1598,282,1640,1,1.01503759,"2015"
"623","Wagoner County Sheriffs Office",9,25,20,5,5,2,3,90,15,95,9,9.29508197,"2015"
"624","Geary Police Department",1,13,6,4,7,0,7,0,1,2,1,1,"2015"
"625","Bristow Police Department",10,14,5,1,9,2,7,3,1,3,14.89999962,14.89999962,"2015"
"626","Benton County Sheriffs Office",10,24,22,5,2,2,0,35,5,32,14.89999962,14.89999962,"2015"
"627","Clackamas County Sheriffs Office",1,143,97,23,46,31,15,525,75,514,1,1,"2015"
"628","Clackamas County Community Corrections",1,40,23,7,17,7,10,111,34,107,1,1,"2015"
"629","Douglas County Sheriffs Office",7,40,38,10,2,2,0,248,35,231,1.27884614,1.31702066,"2015"
"630","Multnomah County Sheriff's Office",1,499,370,70,129,92,37,1279,177,1166,1,1.01503759,"2015"
"631","Polk County Sheriffs Office",8,26,23,5,3,2,1,115,23,123,4.90361452,5.02620488,"2015"
"632","Washington County Sheriff's Office",1,194,142,39,52,43,9,507,96,578,1,1,"2015"
"633","Lebanon Police Department",1,1,1,1,0,0,0,1,3,8,1,1,"2015"
"634","Northern Oregon Regional Corrections Facility",12,36,26,6,10,5,5,110,15,115,1,1.10526316,"2015"
"635","Adams County Adult Correctional Complex",2,132,98,29,34,24,10,285,50,279,2.71428561,2.71428561,"2015"
"636","Allegheny County Bureau of Corrections",1,668,441,67,227,149,78,2412,302,2403,1,1.01503759,"2015"
"637","Renewal Inc.",1,200,80,40,120,60,60,560,65,565,1,1.01503759,"2015"
"638","The Program for Offenders",1,57,24,16,33,24,9,89,34,75,1,1.01503759,"2015"
"639","Armstrong County Jail",8,72,60,19,12,3,9,200,22,151,4.90361452,5.02620488,"2015"
"640","Berks County Jail System",1,263,197,24,66,32,34,990,126,1171,1,1.01503759,"2015"
"641","Blair County Prison",7,104,85,31,19,9,10,304,60,320,1.27884614,1.31702066,"2015"
"642","Bucks County Department of Corrections",1,352,292,45,60,20,40,1169,186,1097,1,1.01503759,"2015"
"643","Butler County Prison",7,117,109,21,8,1,7,375,52,371,1.27884614,1.31702066,"2015"
"644","Cambria County Prison",2,100,77,17,23,7,16,528,106,517,2.71428561,2.71428561,"2015"
"645","Carbon County Correctional Facility",8,64,61,16,3,2,1,235,50,217,4.90361452,5.02620488,"2015"
"646","Chester County Prison",1,300,190,40,110,50,60,837,127,837,1,1,"2015"
"647","Clinton County Correctional Facility",7,72,56,11,16,11,5,272,27,223,1.27884614,1.31702066,"2015"
"648","Dauphin County Prison",1,287,213,31,74,36,38,1054,134,1028,1,1.01503759,"2015"
"649","Erie County Department of Corrections",1,202,188,26,14,5,9,680,103,653,1,1,"2015"
"650","Franklin County Jail",7,111,78,24,33,16,17,437,75,432,1.27884614,1.31702066,"2015"
"651","Jefferson County Jail",8,54,43,14,11,9,2,160,26,127,4.90361452,5.02620488,"2015"
"652","Lackawanna County Prison",1,218,174,30,44,16,28,1129,156,1036,1,1,"2015"
"653","Lancaster County Prison",1,246,206,38,40,15,25,955,137,979,1,1.01503759,"2015"
"654","Lawrence County Corrections",7,72,54,11,18,7,11,231,43,244,1.27884614,1.31702066,"2015"
"655","Lebanon County Prison Board",7,132,92,12,40,20,20,502,97,547,1.27884614,1.31702066,"2015"
"656","Lehigh County Department of Corrections",1,282,211,51,71,33,38,1138,175,1221,1,1.01503759,"2015"
"657","Luzerne County Division of Corrections",1,317,265,40,52,9,43,781,91,692,1,1,"2015"
"658","Mercer County Prison",2,94,76,23,18,7,11,321,38,269,2.71428561,2.71428561,"2015"
"659","Monroe County Correctional Facility",2,130,98,22,32,14,18,351,51,321,2.71428561,2.71428561,"2015"
"660","Montgomery County Correctional Facility",1,350,277,47,73,26,47,1982,333,2330,1,1.01503759,"2015"
"661","Northampton County Department of Corrections",1,240,192,37,48,19,29,601,105,701,1,1,"2015"
"662","Pike County Correctional Facility",7,125,73,19,52,24,28,326,34,284,1.27884614,1.31702066,"2015"
"663","Potter County Jail",9,22,21,1,1,1,0,32,0,42,9,9.29508197,"2015"
"664","Tioga County Prison",8,42,33,10,9,5,4,81,16,80,4.90361452,5.02620488,"2015"
"665","Venango County Board of Inspectors",3,43,35,14,8,2,6,164,30,145,4.69999981,5.22222201,"2015"
"666","Washington County Correctional Facility",2,85,63,13,22,12,10,401,75,390,2.71428561,2.71428561,"2015"
"667","Westmoreland County Prison",1,209,132,24,77,35,42,568,93,597,1,1,"2015"
"668","York County Prison",1,533,461,80,72,31,41,2357,457,2162,1,1.01503759,"2015"
"669","Philadelphia Prison System",1,2334,2053,955,281,147,134,7450,704,7938,1,1.01503759,"2015"
"670","George W. Hill Correctional Facility",1,452,327,141,125,54,71,1709,316,1855,1,1.01503759,"2015"
"671","Beaufort County Detention Center",3,77,73,30,4,4,0,190,21,200,4.69999981,5.22222201,"2015"
"672","Hill-Finklea Detention Center",2,89,85,30,4,4,0,321,49,313,2.71428561,2.71428561,"2015"
"673","Charleston County Sheriff's Office",1,391,349,149,42,32,10,1078,100,1148,1,1.01503759,"2015"
"674","Dillon County Detention Center",8,48,45,22,3,0,3,161,9,100,4.90361452,5.02620488,"2015"
"675","Dorchester County Sheriff's Office",8,81,50,31,31,13,18,169,18,187,4.90361452,5.02620488,"2015"
"676","Greenville County Detention Center",1,355,248,104,107,68,39,1731,248,1380,1,1.01503759,"2015"
"677","Horry County Sheriffs Office",7,120,100,50,20,10,10,706,89,616,1.27884614,1.31702066,"2015"
"678","Laurens County Detention Center",7,56,56,26,0,0,0,210,34,213,1.27884614,1.31702066,"2015"
"679","Lexington County Sheriff's Department",1,121,114,46,7,1,6,800,121,800,1,1,"2015"
"680","Newberry County Detention Center",4,29,24,11,5,3,2,88,12,85,9,9,"2015"
"681","Oconee County Sheriffs Office",8,38,34,15,4,3,1,162,35,154,4.90361452,5.02620488,"2015"
"682","Pickens County Sheriffs Office",7,28,26,13,2,1,1,189,52,200,1.27884614,1.31702066,"2015"
"683","Pickens County Prison",7,13,12,2,1,0,1,65,0,71,1.27884614,1.31702066,"2015"
"684","Alvin S. Glenn Detention Center",1,276,240,133,36,21,15,815,71,869,1,1.01503759,"2015"
"685","Spartanburg County Detention Facility",1,200,154,35,46,42,4,989,128,727,1,1,"2015"
"686","Orangeburg County Detention Center",12,61,54,33,7,5,2,226,16,231,1,1.10526316,"2015"
"687","Sumter-Lee Regional Detention Center",12,86,75,27,11,7,4,254,22,277,1,1.04545455,"2015"
"688","Brown County Sheriffs Office",10,31,16,6,15,11,4,56,10,47,14.89999962,14.89999962,"2015"
"689","Lawrence County Sheriffs Office",10,15,12,5,3,0,3,43,9,31,14.89999962,14.89999962,"2015"
"690","Minnehaha County Sheriffs Office",1,143,130,39,13,3,10,415,66,380,1,1,"2015"
"691","Pennington County Jail",7,157,94,20,63,49,14,577,115,518,1.27884614,1.31702066,"2015"
"692","Roberts County Sheriffs Office",5,28,14,6,14,10,4,55,10,45,7.41666651,8.09090892,"2015"
"693","Anderson County Sheriffs Department",7,78,74,28,4,2,2,295,62,317,1.27884614,1.31702066,"2015"
"694","Bedford County Sheriffs Department",8,40,34,9,6,4,2,235,50,235,4.90361452,5.02620488,"2015"
"695","Benton County Sheriffs Office",9,29,26,8,3,2,1,82,16,88,9,9.29508197,"2015"
"696","Blount County Sheriffs Office",7,89,77,20,12,9,3,533,100,521,1.27884614,1.31702066,"2015"
"697","Carroll County Sheriffs Office",8,34,30,12,4,3,1,120,37,137,4.90361452,5.02620488,"2015"
"698","Carter County Sheriff's Office",7,56,56,14,0,0,0,175,45,175,1.27884614,1.31702066,"2015"
"699","Claiborne County Sheriff's Office",7,45,45,22,0,0,0,241,43,241,1.27884614,1.31702066,"2015"
"700","Coffee County Sheriffs Department",7,67,61,12,6,2,4,298,94,305,1.27884614,1.31702066,"2015"
"701","Cumberland County Sheriff's Office",8,30,20,8,10,4,6,230,58,223,4.90361452,5.02620488,"2015"
"702","Decatur County Sheriffs Office",10,17,15,5,2,0,2,39,8,45,14.89999962,14.89999962,"2015"
"703","Dickson County Sheriffs Office",7,59,48,6,11,5,6,277,46,256,1.27884614,1.31702066,"2015"
"704","Fayette County Sheriff's Office",8,24,22,6,2,0,2,134,17,147,4.90361452,5.02620488,"2015"
"705","Grainger County Sheriff's Department",9,26,25,7,1,0,1,109,19,88,9,9.29508197,"2015"
"706","Greene County Jail",7,81,56,16,25,15,10,408,102,390,1.27884614,1.31702066,"2015"
"707","Hamblen County Sheriffs Department",7,48,44,12,4,2,2,321,102,320,1.27884614,1.31702066,"2015"
"708","Hamilton County Sheriffs Office",1,149,132,14,17,11,6,528,6,531,1,1.01503759,"2015"
"709","Silverdale Correctional Facility - CCA",1,156,133,78,23,12,11,965,243,911,1,1.01503759,"2015"
"710","Hardin County Sheriff's Department",8,28,24,8,4,4,0,118,22,121,4.90361452,5.02620488,"2015"
"711","Hawkins County Sheriffs Office",7,-9,-9,-9,-9,-9,-9,255,41,233,1.27884614,1.31702066,"2015"
"712","Hickman County Sheriffs Department",8,18,18,6,0,0,0,100,15,105,4.90361452,5.02620488,"2015"
"713","Jefferson County Sheriff's Office",7,49,45,15,4,2,2,277,59,259,1.27884614,1.31702066,"2015"
"714","Knox County Sheriffs Office",1,426,327,77,99,55,44,1161,250,1157,1,1.01503759,"2015"
"715","Lauderdale County Sheriffs Department",8,18,18,6,0,0,0,123,18,129,4.90361452,5.02620488,"2015"
"716","Lawrence County Sheriffs Department",7,45,41,14,4,4,0,273,73,309,1.27884614,1.31702066,"2015"
"717","Loudon County Sheriffs Office",8,21,21,6,0,0,0,127,32,126,4.90361452,5.02620488,"2015"
"718","McMinn County Sheriff's Office",7,42,36,9,6,1,5,312,71,312,1.27884614,1.31702066,"2015"
"719","Maury County Sheriffs Department",7,57,53,10,4,3,1,318,45,358,1.27884614,1.31702066,"2015"
"720","Monroe County Sheriffs Office",8,29,21,8,8,8,0,180,39,193,4.90361452,5.02620488,"2015"
"721","Montgomery County Sheriffs Office",1,157,150,48,7,3,4,491,78,455,1,1,"2015"
"722","Putnam County Sheriffs Department",7,49,47,11,2,1,1,357,57,288,1.27884614,1.31702066,"2015"
"723","Robertson County Sheriffs Office",7,90,80,26,10,4,6,507,91,552,1.27884614,1.31702066,"2015"
"724","Rutherford County Correctional Work Center",1,48,36,8,12,6,6,159,34,170,1,1,"2015"
"725","Rutherford County Sheriffs Office",1,140,104,28,36,10,26,882,195,959,1,1,"2015"
"726","Scott County Sheriffs Department",8,25,23,7,2,1,1,152,35,120,4.90361452,5.02620488,"2015"
"727","Sevier County Sheriffs Office",7,91,91,20,0,0,0,493,99,479,1.27884614,1.31702066,"2015"
"728","Shelby County Government Division of Corrections",1,600,330,100,270,135,135,2049,175,1934,1,1.01503759,"2015"
"729","Shelby County Sheriffs Office",1,970,793,461,177,143,34,2408,235,2474,1,1.01503759,"2015"
"730","Sullivan County Sheriffs Office",7,113,85,23,28,11,17,809,149,783,1.27884614,1.31702066,"2015"
"731","Sumner County Sheriffs Office",7,139,121,39,18,5,13,694,132,662,1.27884614,1.31702066,"2015"
"732","Warren County Sheriffs Office",7,46,32,12,14,11,3,318,65,274,1.27884614,1.31702066,"2015"
"733","Washington County Sheriffs Office",7,97,79,25,18,9,9,616,115,566,1.27884614,1.31702066,"2015"
"734","Wayne County Sheriffs Office",8,28,25,11,3,3,0,126,33,127,4.90361452,5.02620488,"2015"
"735","Williamson County Sheriffs Office",7,93,83,26,10,4,6,359,75,357,1.27884614,1.31702066,"2015"
"736","Wilson County Sheriffs Office",7,113,110,20,3,0,3,365,66,320,1.27884614,1.31702066,"2015"
"737","Davidson County Sheriffs Office",1,527,374,72,153,72,81,1664,232,1678,1,1.01503759,"2015"
"738","Metro-Davidson County Detention Facility - CCA",1,-9,-9,-9,-9,-9,-9,925,61,910,1,1.01503759,"2015"
"739","Anderson County Sheriff's Office",8,33,30,11,3,1,2,178,38,178,4.90361452,5.02620488,"2015"
"740","Angelina County Sheriffs Department",7,51,51,15,0,0,0,202,32,216,1.27884614,1.31702066,"2015"
"741","Bastrop County Sheriff's Office",7,98,96,37,2,2,0,230,21,245,1.27884614,1.31702066,"2015"
"742","Bell County Sheriff's Department",1,234,232,75,2,2,0,651,153,667,1,1,"2015"
"743","Bexar County Sheriff's Office",1,1137,827,200,310,218,92,3300,532,3257,1,1.01503759,"2015"
"744","Brazoria County Sheriff's Office",7,139,128,23,11,11,0,769,166,811,1.27884614,1.31702066,"2015"
"745","Brazos County Sheriffs Office",1,165,139,37,26,14,12,588,87,598,1,1,"2015"
"746","Brooks County Sheriffs Office",1,13,11,4,2,2,0,19,1,19,1,1,"2015"
"747","Brooks County Detention Center",1,150,100,40,50,12,38,482,88,574,1,1,"2015"
"748","Brown County Sheriffs Office",8,36,28,16,8,6,2,150,40,170,4.90361452,5.02620488,"2015"
"749","Burnet County Sheriffs Office",7,47,40,16,7,4,3,121,44,180,1.27884614,1.31702066,"2015"
"750","Caldwell County Sheriffs Office",8,75,70,10,5,1,4,208,29,204,4.90361452,5.02620488,"2015"
"751","Cameron County Sheriffs Department",1,270,255,33,15,13,2,1254,95,1247,1,1.01503759,"2015"
"752","Childress County Sheriffs Office",9,23,21,10,2,2,0,50,13,57,9,9.29508197,"2015"
"753","Collin County Sheriffs Office",1,336,308,78,28,6,22,1249,140,934,1,1,"2015"
"754","Colorado County Sheriffs Office",9,22,16,8,6,3,3,59,8,48,9,9.29508197,"2015"
"755","Comanche County Sheriffs Office",9,14,13,6,1,1,0,25,5,25,9,9.29508197,"2015"
"756","Dallas County Sheriff's Department",1,0,0,0,0,0,0,6628,846,5688,1,1.01503759,"2015"
"757","Denton County Sheriffs Office",1,471,415,102,56,24,32,910,157,1053,1,1.01503759,"2015"
"758","Donley County Sheriffs Office",10,6,6,5,0,0,0,2,1,5,14.89999962,14.89999962,"2015"
"759","Ellis County Sheriffs Office",7,121,121,20,0,0,0,443,73,456,1.27884614,1.31702066,"2015"
"760","El Paso County Sheriffs Office",1,673,620,76,53,39,14,1857,200,2137,1,1.01503759,"2015"
"761","Fort Bend County Sheriffs Office",1,421,366,75,55,31,24,836,90,903,1,1,"2015"
"762","Galveston County Sheriffs Office",1,289,286,81,3,2,1,962,157,929,1,1,"2015"
"763","Gregg County Sheriffs Office",1,168,158,63,10,0,10,573,128,624,1,1,"2015"
"764","Guadalupe County Sheriffs Office",7,105,77,22,28,23,5,337,57,459,1.27884614,1.31702066,"2015"
"765","Hardin County Sheriff's Office",8,26,26,13,0,0,0,122,34,155,4.90361452,5.02620488,"2015"
"766","Harris County Sheriff's Office",1,2467,1976,699,491,366,125,8338,1127,8914,1,1.01503759,"2015"
"767","Hays County Sheriff's Office",2,111,97,24,14,6,8,361,58,310,2.71428561,2.71428561,"2015"
"768","Henderson County Sheriffs Office",2,94,91,31,3,0,3,243,66,280,2.71428561,2.71428561,"2015"
"769","Hidalgo County Sheriff's Office",1,356,299,44,57,26,31,1018,80,1100,1,1.01503759,"2015"
"770","Jackson County Sheriffs Office",9,17,16,6,1,0,1,55,11,66,9,9.29508197,"2015"
"771","Jefferson County Downtown Detention Center - La Salle",1,43,38,18,5,4,1,128,12,137,1,1,"2015"
"772","Jefferson County Sheriffs Office",1,255,230,92,25,15,10,784,217,836,1,1,"2015"
"773","Johnson County Sheriffs Office",1,232,183,70,49,38,11,749,104,722,1,1,"2015"
"774","Kaufman County Sheriffs Office",7,107,107,44,0,0,0,366,63,408,1.27884614,1.31702066,"2015"
"775","Kendall County Sheriffs Office",9,21,17,4,4,1,3,49,8,53,9,9.29508197,"2015"
"776","Kerr County Sheriffs Office",8,32,21,5,11,6,5,142,34,154,4.90361452,5.02620488,"2015"
"777","Kleberg County Sheriffs Office",8,37,34,10,3,1,2,104,20,98,4.90361452,5.02620488,"2015"
"778","Llano County Sheriffs Office",9,15,11,4,4,1,3,43,8,40,9,9.29508197,"2015"
"779","Lubbock County Detention Center",1,337,278,88,59,42,17,1067,199,1172,1,1.01503759,"2015"
"780","McLennan County Sheriffs Office",1,239,158,106,81,56,25,753,64,747,1,1.01503759,"2015"
"781","Jack Harwell Detention Center - LaSalle",1,115,94,49,21,14,7,538,133,506,1,1.01503759,"2015"
"782","Matagorda County Sheriffs Office",8,27,20,7,7,2,5,103,6,96,4.90361452,5.02620488,"2015"
"783","Midland County Sheriff's Office",7,110,71,26,39,23,16,390,63,402,1.27884614,1.31702066,"2015"
"784","Montague County Sheriffs Office",9,23,22,9,1,1,0,65,8,65,9,9.29508197,"2015"
"785","Montgomery County Sheriffs Office",1,274,228,53,46,22,24,967,190,1073,1,1.01503759,"2015"
"786","Nueces County Sheriffs Office",1,239,206,56,33,25,8,1647,161,989,1,1,"2015"
"787","Oldham County Sheriffs Office",10,11,11,5,0,0,0,2,1,4,14.89999962,14.89999962,"2015"
"788","Panola County Sheriffs Office",9,27,27,17,0,0,0,49,7,55,9,9.29508197,"2015"
"789","Polk County Sheriffs Office",1,46,34,11,12,4,8,160,40,162,1,1,"2015"
"790","IAH Secure Adult Detention Facility - MTC",1,101,73,35,28,25,3,398,0,328,1,1,"2015"
"791","Potter County Sheriffs Office",7,129,108,31,21,15,6,494,94,477,1.27884614,1.31702066,"2015"
"792","Rockwall County Sheriffs Office",8,67,61,10,6,4,2,150,35,180,4.90361452,5.02620488,"2015"
"793","Smith County Sheriff's Office",1,242,197,65,45,24,21,612,138,664,1,1,"2015"
"794","Stephens County Sheriffs Office",9,10,8,3,2,0,2,34,7,33,9,9.29508197,"2015"
"795","Swisher County Sheriffs Office",10,6,5,2,1,1,0,3,2,12,14.89999962,14.89999962,"2015"
"796","Tarrant County Sheriffs Department",1,702,643,242,59,48,11,2774,564,3239,1,1.01503759,"2015"
"797","Tom Green County Sheriffs Office",7,95,94,38,1,1,0,439,77,405,1.27884614,1.31702066,"2015"
"798","Travis County Sheriff's Office",1,1034,759,180,275,153,122,2432,311,2468,1,1.01503759,"2015"
"799","Victoria County Sheriffs Office",7,101,91,29,10,6,4,363,69,377,1.27884614,1.31702066,"2015"
"800","Waller County Sheriff's Office",9,22,15,1,7,4,3,63,5,85,9,9.29508197,"2015"
"801","Ward County Sheriffs Office",9,16,15,9,1,0,1,28,2,22,9,9.29508197,"2015"
"802","Williamson County Sheriffs Office",7,337,275,75,62,22,40,617,110,650,1.27884614,1.31702066,"2015"
"803","Wise County Sheriffs Office",3,49,47,22,2,2,0,170,31,182,4.69999981,5.22222201,"2015"
"804","Wood County Sheriffs Office",8,27,27,10,0,0,0,104,20,119,4.90361452,5.02620488,"2015"
"805","Hartley County Sheriffs Office and Dallam County Sheriffs Office",12,16,13,9,3,3,0,34,8,33,1,1,"2015"
"806","Bowie County Sheriffs Office",7,192,146,76,46,35,11,710,90,685,1.27884614,1.31702066,"2015"
"807","Falls County Sheriffs Office",10,12,7,3,5,4,1,34,8,37,14.89999962,14.89999962,"2015"
"808","Fannin County Jail",7,135,110,45,25,15,10,420,115,420,1.27884614,1.31702066,"2015"
"809","Rolling Plains Detention Center",7,137,99,40,38,32,6,536,136,476,1.27884614,1.31702066,"2015"
"810","Liberty County Jail -  Community Education Center",7,60,48,28,12,8,4,217,38,212,1.27884614,1.31702066,"2015"
"811","Geo-Val Verde Correctional Facility",1,291,216,89,75,45,30,1240,146,1223,1,1.01503759,"2015"
"812","Beaver County Sheriffs Office",7,27,17,1,10,2,8,369,4,363,1.27884614,1.31702066,"2015"
"813","Davis County Sheriffs Office",7,192,125,32,67,38,29,671,143,696,1.27884614,1.31702066,"2015"
"814","Emery County Sheriffs Office",9,5,4,0,1,0,1,20,5,30,9,9.29508197,"2015"
"815","Salt Lake County Sheriffs Office",1,823,537,84,286,186,100,1898,206,1996,1,1.01503759,"2015"
"816","Sanpete County Sheriffs Office",9,31,27,5,4,2,2,102,11,111,9,9.29508197,"2015"
"817","Utah County Sheriffs Office",1,238,158,23,80,44,36,1002,179,894,1,1,"2015"
"818","Weber County Sheriffs Office",1,242,201,66,41,32,9,859,192,889,1,1,"2015"
"819","Arlington County Sheriffs Office",7,272,222,72,50,25,25,988,50,443,1.27884614,1.31702066,"2015"
"820","Chesterfield County Sheriffs Office",7,148,82,17,66,26,40,311,10,329,1.27884614,1.31702066,"2015"
"821","Culpeper County Sheriffs Office",9,32,27,5,5,5,0,70,12,75,9,9.29508197,"2015"
"822","Fairfax County Sheriffs Office",1,353,265,46,88,56,32,1008,179,1053,1,1.01503759,"2015"
"823","Fauquier County Sheriffs Office",8,34,28,2,6,5,1,95,10,98,4.90361452,5.02620488,"2015"
"824","Henrico County Sheriff's Office",1,357,317,115,40,33,7,1169,256,1024,1,1.01503759,"2015"
"825","Henry County Sheriffs Office",8,33,28,8,5,2,3,181,25,172,4.90361452,5.02620488,"2015"
"826","Rockingham County Sheriff's Office",7,84,74,21,10,10,0,317,48,310,1.27884614,1.31702066,"2015"
"827","Chesapeake City Jail",1,390,351,79,39,27,12,844,125,901,1,1.01503759,"2015"
"828","Danville Adult Detention Center",7,36,34,5,2,2,0,130,0,140,1.27884614,1.31702066,"2015"
"829","Danville Sheriffs Office",7,78,69,26,9,8,1,240,87,258,1.27884614,1.31702066,"2015"
"830","Hampton Sheriffs Office",7,174,78,22,96,49,47,314,26,366,1.27884614,1.31702066,"2015"
"831","Norfolk Sheriff's Office",1,482,396,90,86,45,41,1075,49,1172,1,1.01503759,"2015"
"832","Portsmouth Sheriffs Office",7,75,62,20,13,8,5,206,8,303,1.27884614,1.31702066,"2015"
"833","Richmond City Sheriffs Office",1,454,391,150,63,42,21,953,106,1078,1,1.01503759,"2015"
"834","Roanoke City Sheriffs Office",1,243,100,14,143,30,113,504,115,620,1,1,"2015"
"835","Virginia Beach Sheriffs Office",1,529,271,73,258,102,156,1277,170,1380,1,1.01503759,"2015"
"836","Albemarle Charlottesville Regional Jail",12,163,104,26,59,44,15,519,60,460,1,1.04545455,"2015"
"837","Alleghany Regional Jail",12,62,20,5,42,17,25,91,15,98,1,1.10526316,"2015"
"838","Meherrin River Regional Jail",12,148,132,43,16,12,4,346,39,365,1,1.04545455,"2015"
"839","Peumansend Creek Regional Jail",12,97,66,42,31,25,6,227,0,251,1,1.04545455,"2015"
"840","Northwestern Regional Adult Detention Center",12,190,140,33,50,39,11,669,125,635,1,1,"2015"
"841","Blue Ridge Regional Jail Authority",12,398,318,82,80,59,21,1021,175,1146,1,1.25,"2015"
"842","Pamunkey Regional Jail",12,126,100,38,26,15,11,390,68,451,1,1.04545455,"2015"
"843","Northampton County Sheriff's Office",12,51,42,15,9,8,1,102,8,99,1,1,"2015"
"844","Central Virginia Regional Jail Authority",12,121,88,19,33,22,11,342,44,365,1,1.04545455,"2015"
"845","Piedmont Regional Jail",12,133,105,15,28,23,5,601,60,595,1,1,"2015"
"846","Prince William - Manassas Regional Adult Detention Center",12,345,280,68,65,49,16,925,100,920,1,1,"2015"
"847","New River Valley Regional Jail",12,235,200,43,35,24,11,860,129,860,1,1,"2015"
"848","Northern Neck Regional Jail",12,84,59,14,25,20,5,303,23,317,1,1.04545455,"2015"
"849","Western Virginia Regional Jail",12,192,185,45,7,3,4,757,196,746,1,1,"2015"
"850","Rockbridge Regional Jail",12,38,22,7,16,10,6,105,45,239,1,1.10526316,"2015"
"851","Rappahannock Shenandoah Warren Regional Jail",12,129,104,22,25,21,4,320,64,342,1,1.04545455,"2015"
"852","Southwest Virginia Regional Jail Authority",12,462,361,101,101,80,21,1848,369,1888,1,1.25,"2015"
"853","Riverside Regional Jail Authority",12,367,240,96,127,59,68,1498,238,1445,1,1.25,"2015"
"854","Hampton Roads Regional Jail",12,282,267,111,15,14,1,1060,269,1030,1,1,"2015"
"855","Middle River Regional Jail",12,165,130,30,35,34,1,745,145,745,1,1,"2015"
"856","Western Tidewater Regional Jail",12,184,147,65,37,29,8,644,75,671,1,1,"2015"
"857","Virginia Peninsula Regional Jail Authority",12,135,112,50,23,19,4,410,70,451,1,1.04545455,"2015"
"858","Southside Regional Jail Authority",12,44,39,19,5,4,1,146,15,130,1,1.10526316,"2015"
"859","Adams County Sheriffs Office",10,6,5,0,1,1,0,27,3,27,14.89999962,14.89999962,"2015"
"860","Benton County Sheriffs Office",7,130,110,15,20,1,19,463,100,558,1.27884614,1.31702066,"2015"
"861","Clark County Sheriffs Office",7,162,150,31,12,7,5,679,137,734,1.27884614,1.31702066,"2015"
"862","Cowlitz County Corrections Department",7,66,46,12,20,11,9,223,69,263,1.27884614,1.31702066,"2015"
"863","Franklin County Sheriffs Office",8,40,31,8,9,5,4,185,28,183,4.90361452,5.02620488,"2015"
"864","Kitsap County Sheriffs Office",7,96,89,20,7,6,1,416,68,385,1.27884614,1.31702066,"2015"
"865","Pierce County Sheriff's Department",1,289,253,60,36,10,26,1050,150,1099,1,1.01503759,"2015"
"866","Skagit County Sheriffs Office",8,42,42,12,0,0,0,188,39,205,4.90361452,5.02620488,"2015"
"867","Snohomish County Sheriffs Office",1,363,222,38,141,76,65,822,165,969,1,1.01503759,"2015"
"868","Spokane County Detention Services",1,315,208,31,107,54,53,837,130,910,1,1,"2015"
"869","Thurston County Sheriffs Office",7,117,99,25,18,10,8,406,74,391,1.27884614,1.31702066,"2015"
"870","Whitman County Sheriffs Office",10,12,12,3,0,0,0,19,3,34,14.89999962,14.89999962,"2015"
"871","Yakima County Department of Corrections",7,199,130,24,69,49,20,780,136,777,1.27884614,1.31702066,"2015"
"872","City of Kent Correctional Facility",8,30,23,6,7,3,4,114,30,125,4.90361452,5.02620488,"2015"
"873","South Correctional Entity (SCorE)",7,140,109,21,31,19,12,541,128,638,1.27884614,1.31702066,"2015"
"874","Puyallup Police Department",9,12,12,2,0,0,0,45,13,46,9,9.29508197,"2015"
"875","Yakima Police Department",9,9,8,1,1,0,1,76,0,61,9,9.29508197,"2015"
"876","Chelan County Regional Justice Center",12,67,48,5,19,15,4,272,55,280,1,1.10526316,"2015"
"877","Eastern Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",12,86,72,12,14,9,5,349,57,402,1,1.04545455,"2015"
"878","Central Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",12,91,73,9,18,7,11,325,81,342,1,1.04545455,"2015"
"879","Western Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",12,130,103,11,27,14,13,587,107,589,1,1,"2015"
"880","North Central Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",12,106,87,20,19,12,7,600,100,599,1,1,"2015"
"881","Potomac Highlands Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",12,82,67,18,15,11,4,226,24,246,1,1.04545455,"2015"
"882","South Central Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",12,97,64,12,33,11,22,445,59,446,1,1.04545455,"2015"
"883","Southwestern Regional Jail - West Virginia Regional Jail and Correctional Facility Authority",12,107,92,14,15,10,5,422,47,407,1,1.04545455,"2015"
