"","NAME","STRATUM","OTHERSTAFF","TOTALSTAFF","ADPF","ADP","DESIGNWT","FINALWT","year"
"1653","NW REG ADC & COMMUNTY CORRECTIONAL FACILITY",12,51,184,0,576,1,1.060606003,"2014"
"1654","BLUE RIDGE REGIONAL JAIL AUTHORITY",12,82,405,1,1162,1,1.060606003,"2014"
"1655","PAMUNKEY REGIONAL JAIL",12,52,126,0,433,1,1.060606003,"2014"
"1656","LOUDOUN COUNTY ADULT DETENTION CENTER",7,0,0,0,373,1.4136,1.587581515,"2014"
"1657","MIDDLE PENINSULA REGIONAL SECURITY CENTER",12,15,69,1,220,1,1.060606003,"2014"
"1658","MONTGOMERY COUNTY JAIL",8,0,0,0,90,2.7519,3.01743412,"2014"
"1659","CENTRAL VIRGINIA REGIONAL JAIL",12,24,98,0,398,1,1.060606003,"2014"
"1660","PIEDMONT REGIONAL JAIL",12,24,125,1,574,1,1.060606003,"2014"
"1661","PRINCE WILLIAM-MANASSAS REG ADULT CORR. CTR.",12,65,345,0,985,1,1.060606003,"2014"
"1662","NEW RIVER VALLEY REGIONAL JAIL",12,41,256,1,953,1,1.060606003,"2014"
"1663","NORTHERN NECK REGIONAL JAIL",12,45,88,0,380,1,1.060606003,"2014"
"1664","Western Virginia Regional Jail",12,12,180,0,816,1,1.060606003,"2014"
"1665","ROANOKE COUNTY JAIL",7,0,0,1,142,1.4136,1.587581515,"2014"
"1666","ROCKBRIDGE COUNTY REGIONAL JAIL",12,11,39,0,100,1,1.060606003,"2014"
"1667","ROCKINGHAM REGIONAL JAIL",7,0,0,0,350,1.4136,1.587581515,"2014"
"1668","SOUTHWEST VIRGINIA REGIONAL JAIL AUTHORITY",12,90,336,0,1803,1,1.060606003,"2014"
"1669","ALEXANDRIA CITY DETENTION CENTER",2,0,0,0,409,2.4167,2.416699886,"2014"
"1670","BRISTOL CITY JAIL",8,0,0,0,153,2.7519,3.01743412,"2014"
"1671","CHESAPEAKE CITY JAIL",1,41,397,0,1103,1,1.078947425,"2014"
"1672","RAPPAHANNOCK REGIONAL JAIL AND ANNEX",12,91,327,0,1629,1,1.060606003,"2014"
"1673","HAMPTON CITY JAIL",7,0,0,0,426,1.4136,1.587581515,"2014"
"1674","RIVERSIDE REGIONAL JAIL",12,60,350,0,1526,1,1.060606003,"2014"
"1675","NEWPORT NEWS CITY PRISON FARM",1,17,51,0,156,1,1.078947425,"2014"
"1676","NEWPORT NEWS CITY JAIL",1,34,180,0,508,1,1.078947425,"2014"
"1677","NORFOLK MUNICIPAL JAIL",1,77,473,0,1430,1,1.078947425,"2014"
"1678","HAMPTON ROADS REGIONAL JAIL",12,15,281,0,873,1,1.060606003,"2014"
"1679","RICHMOND CITY JAIL",1,119,423,0,1284,1,1.078947425,"2014"
"1680","ROANOKE CITY JAIL",7,0,0,0,662,1.4136,1.587581515,"2014"
"1681","MIDDLE RIVER REGIONAL JAIL",12,31,142,0,635,1,1.060606003,"2014"
"1682","WESTERN TIDEWATER REGIONAL JAIL",12,25,167,0,693,1,1.060606003,"2014"
"1683","VIRGINIA BEACH MUNICIPAL CORRECTIONAL CENTER",1,265,545,0,1709,1,1.078947425,"2014"
"1684","VIRGINIA PENINSULA REGIONAL JAIL",12,17,123,0,442,1,1.060606003,"2014"
"1685","BENTON COUNTY JAIL",7,0,0,0,668,1.4136,1.587581515,"2014"
"1686","CHELAN COUNTY REGIONAL JUSTICE CENTER",12,21,72,0,253,1,1.060606003,"2014"
"1687","CLALLAM COUNTY CORRECTIONAL FACILITY",8,0,0,0,128,2.7519,3.01743412,"2014"
"1688","CLARK COUNTY JAIL",1,32,167,0,750,1,1.078947425,"2014"
"1689","GRANT COUNTY",8,0,0,0,215,2.7519,3.01743412,"2014"
"1690","JEFFERSON COUNTY JAIL",9,0,0,0,48,5.5377,5.768437862,"2014"
"1691","KING COUNTY",1,158,695,0,2027,1,1.078947425,"2014"
"1692","KITSAP COUNTY CORRECTIONAL CENTER",7,0,0,0,422,1.4136,1.587581515,"2014"
"1693","MASON COUNTY JAIL",9,0,0,1,117,5.5377,5.768437862,"2014"
"1694","PACIFIC COUNTY JAIL",10,0,0,1,40,15.7,16.98163223,"2014"
"1695","PIERCE COUNTY JAIL",1,64,298,0,1030,1,1.078947425,"2014"
"1696","SNOHOMISH COUNTY",1,118,337,0,1125,1,1.078947425,"2014"
"1697","SPOKANE COUNTY JAIL",1,86,252,0,652,1,1.078947425,"2014"
"1698","SPOKANE COUNTY GEIGER CORRECTIONS CENTER",1,19,79,0,264,1,1.078947425,"2014"
"1699","THURSTON COUNTY JAIL",2,0,0,1,389,2.4167,2.416699886,"2014"
"1700","WHATCOM COUNTY JAIL",7,0,0,0,411,1.4136,1.587581515,"2014"
"1701","YAKIMA COUNTY JAIL",1,45,172,0,784,1,1.078947425,"2014"
"1702","Southern Correction Entity - SCORE",12,27,113,0,542,1,1.060606003,"2014"
"1703","EASTERN REGIONAL JAIL",12,30,107,0,435,1,1.060606003,"2014"
"1704","CENTRAL REGIONAL JAIL",12,16,80,1,310,1,1.060606003,"2014"
"1705","WESTERN REGIONAL JAIL",12,22,125,0,580,1,1.060606003,"2014"
"1706","NORTH CENTRAL REGIONAL JAIL",12,25,90,0,586,1,1.060606003,"2014"
"1707","POTOMAC HIGHLANDS REGIONAL JAIL",12,14,73,1,256,1,1.060606003,"2014"
"1708","SOUTH CENTRAL REGIONAL JAIL",12,23,91,0,482,1,1.060606003,"2014"
"1709","SOUTHWESTERN REGIONAL JAIL",12,19,113,0,325,1,1.060606003,"2014"
"1710","NORTHERN REGIONAL JAIL",12,12,82,1,270,1,1.060606003,"2014"
"1711","SOUTHERN REGIONAL JAIL",12,10,108,1,570,1,1.060606003,"2014"
"1712","TYGART VALLEY REGIONAL JAIL",12,19,108,0,451,1,1.060606003,"2014"
"1713","BROWN COUNTY JAIL",1,25,161,0,676,1,1.078947425,"2014"
"1714","BUFFALO COUNTY JAIL",10,0,0,0,16,15.7,16.98163223,"2014"
"1715","BURNETT COUNTY LAW ENFORCEMENT CENTER",9,0,0,0,26,5.5377,5.768437862,"2014"
"1716","CLARK COUNTY JAIL",4,0,0,0,52,7.5625,8.102678299,"2014"
"1717","DANE COUNTY JAIL",1,86,252,0,767,1,1.078947425,"2014"
"1718","DODGE COUNTY JAIL",7,0,0,0,439,1.4136,1.587581515,"2014"
"1719","KENOSHA COUNTY JAIL",1,76,246,0,764,1,1.078947425,"2014"
"1720","LA CROSSE COUNTY JAIL",3,0,0,0,201,4.2917,4.904799461,"2014"
"1721","MARATHON COUNTY ADULT DETENTION FACILITY",7,0,0,0,320,1.4136,1.587581515,"2014"
"1722","MILWAUKEE COUNTY CORRECTIONAL FAC CENTRAL",1,0,140,0,938,1,1.078947425,"2014"
"1723","MILWAUKEE COUNTY CORRECTIONAL FAC SOUTH",1,185,412,0,1562,1,1.078947425,"2014"
"1724","ONEIDA COUNTY JAIL",4,0,0,1,80,7.5625,8.102678299,"2014"
"1725","ROCK COUNTY JAIL",1,41,122,0,493,1,1.078947425,"2014"
"1726","RUSK COUNTY JAIL",9,0,0,0,43,5.5377,5.768437862,"2014"
"1727","ST. CROIX COUNTY JAIL",8,0,0,1,82,2.7519,3.01743412,"2014"
"1728","SAUK COUNTY",3,0,0,0,188,4.2917,4.904799461,"2014"
"1729","WASHINGTON COUNTY JAIL",3,0,0,0,250,4.2917,4.904799461,"2014"
"1730","WAUKESHA COUNTY",1,24,124,1,550,1,1.078947425,"2014"
"1731","WAUSHARA COUNTY JAIL",8,0,0,1,81,2.7519,3.01743412,"2014"
"1732","WINNEBAGO COUNTY JAIL",2,0,0,0,285,2.4167,2.416699886,"2014"
"1733","WOOD COUNTY JAIL",8,0,0,0,175,2.7519,3.01743412,"2014"
"1734","NATRONA COUNTY DETENTION CENTER",7,0,0,5,294,1.4136,1.587581515,"2014"
"1735","PLATTE COUNTY JAIL",9,0,0,0,43,5.5377,5.768437862,"2014"
"1736","SHERIDAN COUNTY JAIL",8,0,0,0,76,2.7519,3.01743412,"2014"
"1737","TETON COUNTY JAIL",10,0,0,0,25,15.7,16.98163223,"2014"
"1738","Baldwin County Sheriff's Office",1,28,119,103,585,1,1,"2015"
"1739","Bibb County Sheriffs Department",9,0,15,10,75,9,9.29508197,"2015"
"1740","Cleburne County Sheriffs Office",9,1,16,13,70,9,9.29508197,"2015"
"1741","Cullman County Sheriffs Office",7,15,42,52,303,1.27884614,1.31702066,"2015"
"1742","Etowah County Sheriffs Office",1,23,84,89,699,1,1,"2015"
"1743","Fayette County Sheriffs Office",9,1,12,12,60,9,9.29508197,"2015"
"1744","Houston County Sheriffs Office",7,11,74,29,281,1.27884614,1.31702066,"2015"
"1745","Jefferson County Sheriff's Office",1,17,165,110,1091,1,1.01503759,"2015"
"1746","Lawrence County Sheriffs Office",8,5,18,14,94,4.90361452,5.02620488,"2015"
"1747","Lee County Sheriffs Office",7,13,68,57,397,1.27884614,1.31702066,"2015"
"1748","Lowndes County Sheriffs Office",9,2,18,2,79,9,9.29508197,"2015"
"1749","Madison County Sheriffs Office",1,41,95,140,825,1,1,"2015"
"1750","Montgomery County Sheriffs Office",7,28,192,85,564,1.27884614,1.31702066,"2015"
"1751","Morgan County Sheriffs Office",7,8,110,50,430,1.27884614,1.31702066,"2015"
"1752","Russell County Sheriff's Department",2,7,57,35,230,2.71428561,2.71428561,"2015"
"1753","Shelby County Sheriff's Office",2,10,77,78,435,2.71428561,2.71428561,"2015"
"1754","Talladega County Sheriff's Office/Jail",7,10,56,51,280,1.27884614,1.31702066,"2015"
"1755","Tuscaloosa County Sheriffs Office",1,7,79,61,550,1,1,"2015"
"1756","Washington County Sheriffs Office",7,12,18,10,50,1.27884614,1.31702066,"2015"
"1757","City of Foley Police Department",9,1,12,12,45,9,9.29508197,"2015"
"1758","Piedmont Police Department",10,15,15,1,5,14.89999962,14.89999962,"2015"
"1759","City of Adamsville Jail",10,0,3,5,15,14.89999962,14.89999962,"2015"
"1760","Fultondale Police Department",10,1,6,3,9,14.89999962,14.89999962,"2015"
"1761","Guntersville Police Department",10,1,5,2,11,14.89999962,14.89999962,"2015"
"1762","Creola Police Department",1,0,5,1,4,1,1,"2015"
"1763","Montgomery Municipal Jail",7,-9,-9,22,145,1.27884614,1.31702066,"2015"
"1764","Coconino County Sheriffs Office",7,36,133,80,469,1.27884614,1.31702066,"2015"
"1765","Maricopa County Sheriff's Office",1,219,2252,1163,7911,1,1.01503759,"2015"
"1766","Mohave County Sheriff's Office",1,26,145,91,452,1,1,"2015"
"1767","Navajo County Sheriffs Office",7,25,74,45,285,1.27884614,1.31702066,"2015"
"1768","Pima County Sheriff's Department",1,143,548,300,1838,1,1.01503759,"2015"
"1769","Pinal County Adult Detention Center",1,41,184,101,853,1,1.01503759,"2015"
"1770","Yavapai County Sheriffs Office",7,26,132,112,494,1.27884614,1.31702066,"2015"
"1771","Yuma County Sheriff's Office",1,46,177,78,535,1,1,"2015"
"1772","Benton County Sheriffs Office",7,-9,-9,50,426,1.27884614,1.31702066,"2015"
"1773","Crittenden County Sheriffs Office",7,0,0,33,271,1.27884614,1.31702066,"2015"
"1774","Drew County Detention Facility",10,3,15,4,31,14.89999962,14.89999962,"2015"
"1775","Sheridan Police Department",9,4,15,23,75,9,9.29508197,"2015"
"1776","Scott County Detention Center",8,4,12,1,27,4.90361452,5.02620488,"2015"
"1777","Sebastian County Sheriffs Office",7,22,82,81,421,1.27884614,1.31702066,"2015"
"1778","Washington County Sheriffs Office",1,27,198,115,646,1,1,"2015"
"1779","White County Sheriffs Office",7,-9,-9,50,245,1.27884614,1.31702066,"2015"
"1780","Pulaski County Sheriffs Office",12,86,342,162,1159,1,1.25,"2015"
"1781","Alameda County Sheriffs Office",1,232,622,222,2583,1,1.11111111,"2015"
"1782","Amador County Sheriffs Office",1,1,26,17,87,1,1,"2015"
"1783","Butte County Sheriffs Office",1,41,128,88,578,1,1,"2015"
"1784","Calaveras County Sheriffs Office",1,7,30,18,94,1,1,"2015"
"1785","Colusa County Sheriffs Office",1,2,15,12,78,1,1,"2015"
"1786","Contra Costa County Sheriffs Office",1,73,184,166,1392,1,1.11111111,"2015"
"1787","Del Norte County Sheriffs Office",1,10,22,15,93,1,1,"2015"
"1788","El Dorado County Sheriff's Office",1,18,118,65,384,1,1,"2015"
"1789","Fresno County Sheriff Coroner's Office",1,35,455,341,2661,1,1.11111111,"2015"
"1790","Glenn County Sheriffs Office",1,3,19,18,95,1,1.125,"2015"
"1791","Humboldt County Sheriffs Office",1,15,95,46,341,1,1,"2015"
"1792","Imperial County Sheriff's Office",1,34,76,64,509,1,1,"2015"
"1793","Inyo County Sheriffs Office",1,7,30,14,70,1,1,"2015"
"1794","Kern County Sheriffs Office",1,61,384,279,2321,1,1.11111111,"2015"
"1795","Kings County Sheriffs Office",1,18,53,81,505,1,1,"2015"
"1796","Lake County Sheriff's Office",1,17,63,49,281,1,1,"2015"
"1797","Lassen County Adult Detention Facility",1,8,39,23,120,1,1.125,"2015"
"1798","Los Angeles County Sheriff's Department",1,0,3163,2196,17049,1,1.11111111,"2015"
"1799","Madera County Department of Corrections",1,11,106,51,423,1,1,"2015"
"1800","Marin County Sheriffs Office",1,26,115,39,267,1,1,"2015"
"1801","Mariposa County Sheriffs Office",1,2,21,10,45,1,1,"2015"
"1802","Merced County Sheriffs Office",1,20,71,67,696,1,1,"2015"
"1803","Modoc County Sheriffs Office",1,0,7,3,23,1,1,"2015"
"1804","Mono County Sheriffs Office",1,0,18,2,20,1,1,"2015"
"1805","Napa County Department of Corrections",1,23,88,19,172,1,1.125,"2015"
"1806","Nevada County Sheriffs Office",1,28,87,45,223,1,1.125,"2015"
"1807","Orange County Sheriff's Department",1,0,0,726,5754,1,1.11111111,"2015"
"1808","Placer County Sheriffs Department",1,78,200,118,628,1,1,"2015"
"1809","Plumas County Sheriffs Correctional Facility",1,0,18,9,49,1,1,"2015"
"1810","Riverside County Sheriff's Department",1,298,1497,454,3821,1,1.11111111,"2015"
"1811","Sacramento County Sheriffs Office - Rio Cosumnes Correctional Center (RCCC)",1,65,221,201,1986,1,1.11111111,"2015"
"1812","Sacramento County Sheriff's Department - Main Jail",1,143,422,232,2061,1,1.11111111,"2015"
"1813","San Benito County Sheriffs Office",1,3,25,18,123,1,1.125,"2015"
"1814","San Diego County Sheriff's Department",1,703,1726,764,4986,1,1.11111111,"2015"
"1815","Correctional Alternatives",1,49,82,110,273,1,1.11111111,"2015"
"1816","San Joaquin County Sheriffs Office",1,19,229,135,1249,1,1.11111111,"2015"
"1817","San Luis Obispo County Sheriffs Office",1,29,167,82,606,1,1,"2015"
"1818","San Mateo County Sheriffs Office",1,58,263,102,853,1,1.11111111,"2015"
"1819","Santa Barbara County Sheriffs Office",1,103,279,156,1104,1,1.11111111,"2015"
"1820","Santa Clara County Sheriff's Office",1,142,860,469,3637,1,1.11111111,"2015"
"1821","Santa Cruz County Sheriffs Office",1,26,139,37,410,1,1,"2015"
"1822","Shasta County Sheriff's Office",1,31,91,51,322,1,1,"2015"
"1823","Sierra County Sheriffs Office",1,1,5,1,3,1,1,"2015"
"1824","Siskiyou County Sheriffs Department",1,12,40,9,101,1,1,"2015"
"1825","Solano County Sheriff's Office",1,4,236,115,883,1,1,"2015"
"1826","Sonoma County Sheriff's Office",1,76,243,163,1063,1,1.11111111,"2015"
"1827","Stanislaus County Sheriffs Department",1,56,294,122,1098,1,1.11111111,"2015"
"1828","Sutter County Sheriffs Office",1,7,49,51,256,1,1,"2015"
"1829","Tehama County Sheriffs Office",1,2,42,25,200,1,1.125,"2015"
"1830","Trinity County Sheriffs Office",1,0,17,8,53,1,1,"2015"
"1831","Tulare County Sheriff's Department",1,133,429,197,1522,1,1.11111111,"2015"
"1832","Tuolumne County Sheriffs Office",1,9,46,31,146,1,1.125,"2015"
"1833","Ventura County Probation Agency",1,-9,-9,6,34,1,1.11111111,"2015"
"1834","Ventura County Sheriff's Office",1,88,400,217,1622,1,1.11111111,"2015"
"1835","Yolo County Sheriff's Office",1,25,135,54,378,1,1,"2015"
"1836","Yuba County Sheriffs Office",1,20,84,48,394,1,1,"2015"
"1837","Glendale City Police Department",1,2,20,2,14,1,1,"2015"
"1838","Long Beach Police Department",1,0,42,9,69,1,1.125,"2015"
"1839","Monterey Park Police Department",1,2,9,1,3,1,1,"2015"
"1840","Whittier Police Department",1,0,9,1,6,1,1,"2015"
"1841","Santa Ana Police Department",1,33,121,90,320,1,1,"2015"
"1842","Seal Beach Police Department Detention Center",1,2,7,0,5,1,1,"2015"
"1843","San Francisco Sheriffs Department",1,27,486,111,1208,1,1.11111111,"2015"
"1844","Alhambra City Jail",1,2,10,1,6,1,1,"2015"
"1845","Montebello City Jail - Geo Group, Inc.",1,0,6,1,5,1,1,"2015"
"1846","Adams County Sheriffs Office",1,101,294,127,941,1,1.01503759,"2015"
"1847","Arapahoe County Sheriffs Office",1,140,370,132,1008,1,1.01503759,"2015"
"1848","Boulder County Sheriffs Office",7,60,172,66,465,1.27884614,1.31702066,"2015"
"1849","Conejos County Sheriffs Office",10,2,16,10,40,14.89999962,14.89999962,"2015"
"1850","Douglas County Sheriffs Office",7,20,166,69,276,1.27884614,1.31702066,"2015"
"1851","El Paso County Sheriffs Office",1,126,411,289,1547,1,1.01503759,"2015"
"1852","ComCor Inc.",1,75,125,73,345,1,1.01503759,"2015"
"1853","Garfield County Sheriff's Office",9,9,57,17,106,9,9.29508197,"2015"
"1854","Jefferson County Sheriffs Office",1,119,378,205,1203,1,1.01503759,"2015"
"1855","Larimer County Sheriffs Office",7,50,175,82,483,1.27884614,1.31702066,"2015"
"1856","Mesa County Sheriff's Office",7,5,93,68,423,1.27884614,1.31702066,"2015"
"1857","Rio Blanco County Jail",10,1,10,2,12,14.89999962,14.89999962,"2015"
"1858","Teller County Sheriffs Office",9,1,25,19,54,9,9.29508197,"2015"
"1859","Weld County Sheriffs Office",1,46,235,114,618,1,1,"2015"
"1860","Denver Sheriff Department",1,87,884,286,2017,1,1.01503759,"2015"
"1861","D.C. Department of Corrections",1,215,872,110,1814,1,1.01503759,"2015"
"1862","Alachua County Sheriffs Office",1,92,325,105,806,1,1.01503759,"2015"
"1863","Baker County Sheriff's Office",7,32,107,47,416,1.27884614,1.31702066,"2015"
"1864","Bay County Jail Facility",1,123,265,313,1210,1,1,"2015"
"1865","Brevard County Sheriff's Office Jail Complex",1,140,449,271,1446,1,1.01503759,"2015"
"1866","Broward Sheriff's Office",1,255,1533,513,4573,1,1.01503759,"2015"
"1867","GEO Group - Broward Transitional Center",1,66,164,81,453,1,1.01503759,"2015"
"1868","Charlotte County Sheriffs Office",7,49,189,151,695,1.27884614,1.31702066,"2015"
"1869","Collier County Sheriffs Office",1,50,307,112,790,1,1,"2015"
"1870","Miami-Dade County Corrections and Rehabilitation Department",1,724,2773,252,4153,1,1.01503759,"2015"
"1871","Escambia County Corrections",1,85,370,253,1324,1,1.01503759,"2015"
"1872","Escambia County Road Prison",1,5,70,0,184,1,1.01503759,"2015"
"1873","Hernando County Sheriffs Office",7,40,115,110,467,1.27884614,1.31702066,"2015"
"1874","Hillsborough County Sheriffs Office",1,80,648,387,2817,1,1.01503759,"2015"
"1875","Lake County Sheriffs Office",1,80,200,150,800,1,1,"2015"
"1876","Lee County Sheriffs Office",1,110,463,291,1629,1,1.01503759,"2015"
"1877","Leon County Sheriffs Office",1,35,315,173,1128,1,1,"2015"
"1878","Manatee County Sheriff's Office",1,146,343,175,1019,1,1,"2015"
"1879","Marion County Sheriffs Office",1,104,282,234,1254,1,1.01503759,"2015"
"1880","Martin County Sheriffs Office",1,16,139,87,526,1,1,"2015"
"1881","Monroe County Sheriffs Office",7,37,179,45,478,1.27884614,1.31702066,"2015"
"1882","Nassau County Sheriffs Office",7,15,51,40,230,1.27884614,1.31702066,"2015"
"1883","Okaloosa County Department of Corrections",1,7,125,121,657,1,1,"2015"
"1884","Orange County Corrections Department",1,414,1765,354,2768,1,1.01503759,"2015"
"1885","Palm Beach County Sheriffs Office",1,390,935,230,2194,1,1.01503759,"2015"
"1886","Pasco Sheriff's Office",1,-9,-9,253,1398,1,1.01503759,"2015"
"1887","Pinellas County Sheriff's Office",1,361,999,445,2796,1,1.01503759,"2015"
"1888","Polk County Sheriffs Office",1,197,444,422,2423,1,1.01503759,"2015"
"1889","Putnam County Sheriffs Office",7,7,61,53,288,1.27884614,1.31702066,"2015"
"1890","St. Lucie County Sheriffs Office",1,42,272,220,1296,1,1.01503759,"2015"
"1891","Santa Rosa County Sheriff's Office",1,0,0,209,672,1,1,"2015"
"1892","Sarasota County Sheriffs Office",1,62,250,183,917,1,1,"2015"
"1893","Seminole County Sheriff's Office",1,-9,-9,140,792,1,1,"2015"
"1894","Sumter County Sheriff's Office",8,28,92,54,272,4.90361452,5.02620488,"2015"
"1895","Volusia County Division of Corrections",1,62,322,254,1389,1,1.01503759,"2015"
"1896","Jacksonville Sheriffs Office",1,124,888,516,3412,1,1.01503759,"2015"
"1897","Barrow County Sheriff's Office",7,13,103,43,235,1.27884614,1.31702066,"2015"
"1898","Bartow County Sheriffs Office",7,10,100,145,600,1.27884614,1.31702066,"2015"
"1899","Ben Hill County Sheriff's Office",8,25,50,16,101,4.90361452,5.02620488,"2015"
"1900","Bibb County Sheriffs Office",1,129,258,135,889,1,1,"2015"
"1901","Brooks County Sheriffs Office",9,1,25,10,80,9,9.29508197,"2015"
"1902","Bulloch County Sheriffs Office",7,0,65,50,375,1.27884614,1.31702066,"2015"
"1903","Bulloch County Correctional Institution",7,2,32,0,158,1.27884614,1.31702066,"2015"
"1904","Calhoun County Sheriffs Office",10,0,8,4,20,14.89999962,14.89999962,"2015"
"1905","Carroll County Prison",1,4,25,0,242,1,1,"2015"
"1906","Carroll County Sheriff's Office",1,103,186,80,507,1,1,"2015"
"1907","Catoosa County Sheriffs Office",8,3,31,50,210,4.90361452,5.02620488,"2015"
"1908","Chatham County Adult Detention Center",1,83,420,196,1534,1,1.01503759,"2015"
"1909","Cherokee County Sheriffs Office",1,14,110,120,583,1,1,"2015"
"1910","Clayton County Correctional Institution",1,7,59,0,230,1,1.01503759,"2015"
"1911","Clayton County Sheriff's Office",1,-9,-9,107,1092,1,1.01503759,"2015"
"1912","Cobb County Sheriffs Office",1,172,420,277,1794,1,1.01503759,"2015"
"1913","Coffee County Sheriffs Office",8,21,63,51,224,4.90361452,5.02620488,"2015"
"1914","Coweta County Sheriff's Office",1,4,82,50,268,1,1,"2015"
"1915","Coweta County Prison",1,13,115,0,234,1,1,"2015"
"1916","Dade County Sheriff's Office",9,6,16,9,42,9,9.29508197,"2015"
"1917","Dawson County Sheriffs Office",3,29,58,35,150,4.69999981,5.22222201,"2015"
"1918","Decatur County Sheriffs Office",7,44,72,5,74,1.27884614,1.31702066,"2015"
"1919","Decatur County Prison",7,4,44,0,175,1.27884614,1.31702066,"2015"
"1920","Dekalb County Sheriffs Office",1,144,627,235,2223,1,1.01503759,"2015"
"1921","Dodge County Sheriffs Office",9,1,31,15,100,9,9.29508197,"2015"
"1922","Dougherty County Jail",1,32,176,89,690,1,1,"2015"
"1923","Douglas County Sheriff's Office",1,216,312,137,734,1,1,"2015"
"1924","Effingham County Sheriffs Office",7,7,47,48,185,1.27884614,1.31702066,"2015"
"1925","Effingham County Prison",7,11,37,0,184,1.27884614,1.31702066,"2015"
"1926","Floyd County Work Release Center",1,4,14,0,57,1,1.01503759,"2015"
"1927","Floyd County Prison",1,7,60,0,407,1,1.01503759,"2015"
"1928","Floyd County Sheriffs Office",1,10,85,122,563,1,1.01503759,"2015"
"1929","Franklin County Sheriffs Office",9,3,27,14,86,9,9.29508197,"2015"
"1930","Glynn County Sheriffs Office",2,42,206,65,399,2.71428561,2.71428561,"2015"
"1931","Gordon County Sheriffs Office",7,5,45,60,274,1.27884614,1.31702066,"2015"
"1932","Gwinnett County Sheriff's Department",1,151,679,286,2006,1,1.01503759,"2015"
"1933","Gwinnett County Department of Correction",1,17,131,13,367,1,1.01503759,"2015"
"1934","Hall County Sheriffs Office",1,88,350,150,788,1,1,"2015"
"1935","Hall County Correctional Institution",1,6,36,0,225,1,1,"2015"
"1936","Henry County Sheriffs Department",1,148,308,101,649,1,1,"2015"
"1937","Houston County Sheriffs Office",7,18,171,68,421,1.27884614,1.31702066,"2015"
"1938","Irwin County Detention Center",1,16,185,154,606,1,1,"2015"
"1939","Jefferson County Prison",7,5,36,0,132,1.27884614,1.31702066,"2015"
"1940","Jefferson County Sheriffs Office",7,8,14,8,73,1.27884614,1.31702066,"2015"
"1941","Jenkins County Sheriffs Office",1,2,14,2,21,1,1.01503759,"2015"
"1942","Jenkins Correctional Center -- CCA",1,68,195,0,1141,1,1.01503759,"2015"
"1943","McDuffie County Sheriffs Office",9,8,24,11,91,9,9.29508197,"2015"
"1944","Pickens County Sheriff Office",9,4,25,26,133,9,9.29508197,"2015"
"1945","Pike County Sheriffs Office",5,3,15,3,18,7.41666651,8.09090892,"2015"
"1946","Screven County Sheriffs Office",1,5,17,6,56,1,1.01503759,"2015"
"1947","Screven County Prison",1,4,19,0,140,1,1.01503759,"2015"
"1948","Spalding County Sheriffs Office",1,13,79,57,367,1,1,"2015"
"1949","Spalding County Correctional Institution",1,8,82,0,373,1,1,"2015"
"1950","Sumter County Sheriff's Office",7,74,110,20,160,1.27884614,1.31702066,"2015"
"1951","Sumter County Correctional Institute",7,12,42,0,340,1.27884614,1.31702066,"2015"
"1952","Telfair County Sheriffs Office",10,3,11,4,27,14.89999962,14.89999962,"2015"
"1953","Thomas County Sheriffs Office",7,4,31,24,219,1.27884614,1.31702066,"2015"
"1954","Thomas County Prison",7,2,30,0,190,1.27884614,1.31702066,"2015"
"1955","Tift County Sheriff's Office",8,3,53,28,194,4.90361452,5.02620488,"2015"
"1956","Troup County Sheriffs Office",1,10,58,69,405,1,1,"2015"
"1957","Troup County Prison",1,6,83,0,339,1,1,"2015"
"1958","Ware County Sheriffs Office",7,8,64,79,359,1.27884614,1.31702066,"2015"
"1959","Whitfield County Sheriffs Department",7,56,196,71,420,1.27884614,1.31702066,"2015"
"1960","Athens-Clarke County Correctional Institution",1,4,27,0,109,1,1,"2015"
"1961","Clarke County Sheriff's Office",1,36,74,51,425,1,1,"2015"
"1962","Athens-Clarke County Diversion Center",1,-9,-9,0,36,1,1,"2015"
"1963","City of Atlanta Department of Corrections",7,59,328,60,404,1.27884614,1.31702066,"2015"
"1964","Muscogee County Prison Office",1,17,122,0,520,1,1.01503759,"2015"
"1965","Muscogee County Sheriffs Office",1,7,274,129,1086,1,1.01503759,"2015"
"1966","Cuthbert Police Department",10,0,4,3,5,14.89999962,14.89999962,"2015"
"1967","Richmond County Sheriff's Office",1,16,182,100,920,1,1.01503759,"2015"
"1968","Richmond County Correctional Institution",1,4,76,0,224,1,1.01503759,"2015"
"1969","Ada County Sheriffs Office",1,113,290,196,903,1,1,"2015"
"1970","Bannock County Sheriffs Office",7,27,79,53,246,1.27884614,1.31702066,"2015"
"1971","Bonneville County Sheriffs Office Jail Division",7,22,83,120,377,1.27884614,1.31702066,"2015"
"1972","Canyon County Sheriffs Office",7,35,140,58,382,1.27884614,1.31702066,"2015"
"1973","Fremont County Sheriffs Office",10,0,10,3,13,14.89999962,14.89999962,"2015"
"1974","Jerome County Sheriff's Office",9,2,12,4,34,9,9.29508197,"2015"
"1975","Kootenai County Sheriffs Office",7,26,101,100,375,1.27884614,1.31702066,"2015"
"1976","Lewis County Sheriffs Office",10,0,3,2,11,14.89999962,14.89999962,"2015"
"1977","Owyhee County Sheriffs Office",9,1,9,9,35,9,9.29508197,"2015"
"1978","Shoshone County Sheriffs Office",10,0,9,9,35,14.89999962,14.89999962,"2015"
